test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp	fold	gen	model	subset
0.50033	0.29341	0.5083	0.52042	0.5083	0.49937	-1.14111	3172	4	84	0	1	f	knn	top5
0.4991	0.31936	0.50479	0.50694	0.50479	0.49449	-0.99566	3141	35	84	0	1	f	knn	top5
0.50106	0.27944	0.50931	0.51316	0.50931	0.50372	-1.43318	3124	52	82	2	1	f	knn	top5
0.49966	0.33134	0.50597	0.51661	0.50597	0.49984	-0.95228	3175	1	84	0	1	f	knn	top5
0.50098	0.38922	0.50406	0.52953	0.50406	0.49094	-1.17032	3005	171	81	3	1	f	knn	top5
0.49975	0.30539	0.50574	0.50786	0.50574	0.50388	-1.00373	3125	51	82	2	1	f	knn	top5
0.49997	0.20359	0.51131	0.52157	0.51131	0.51144	-1.26302	2984	192	77	7	1	f	knn	top5
0.49997	0.30739	0.50671	0.52281	0.50671	0.50469	-0.92917	3168	8	83	1	1	f	knn	top5
0.49953	0.36128	0.50516	0.50871	0.50516	0.5	-0.90173	3176	0	84	0	1	f	knn	top5
0.50047	0.19162	0.5125	0.53506	0.5125	0.49937	-1.1138	3172	4	84	0	1	f	knn	top5
0.49851	0.002	0.55166	0.58193	0.55166	0.52333	-8.866	1774	1402	43	41	1	m	lda	top5
0.5008	0.002	0.5565	0.56927	0.5565	0.53847	-8.83694	1908	1268	44	40	1	m	lda	top5
0.49997	0.00599	0.55224	0.59917	0.55224	0.54609	-8.98974	2032	1144	46	38	1	m	lda	top5
0.49869	0.002	0.55037	0.54878	0.55037	0.53275	-8.76567	1796	1380	42	42	1	m	lda	top5
0.50078	0.002	0.55604	0.57358	0.55604	0.54215	-8.80829	2007	1169	46	38	1	m	lda	top5
0.49983	0.002	0.59554	0.59231	0.59554	0.55895	-8.94097	1660	1516	34	50	1	m	lda	top5
0.50031	0.002	0.56469	0.57092	0.56469	0.5534	-8.81576	1965	1211	43	41	1	m	lda	top5
0.50006	0.002	0.58715	0.57417	0.58715	0.59429	-8.89775	1771	1405	31	53	1	m	lda	top5
0.49921	0.002	0.56158	0.57545	0.56158	0.54975	-8.87079	1904	1272	42	42	1	m	lda	top5
0.50111	0.002	0.5596	0.58149	0.5596	0.53832	-8.81569	1907	1269	44	40	1	m	lda	top5
0.49945	0.00998	0.53611	0.57415	0.53611	0.54723	-8.85074	1888	1288	42	42	1	m	lda	top5
0.5004	0.002	0.5598	0.58466	0.5598	0.55891	-8.87483	2000	1176	43	41	1	m	lda	top5
0.49952	0.002	0.57535	0.58229	0.57535	0.54099	-8.8114	1924	1252	44	40	1	m	lda	top5
0.49914	0.002	0.57128	0.57646	0.57128	0.56917	-8.82769	2103	1073	44	40	1	m	lda	top5
0.49858	0.002	0.55637	0.59363	0.55637	0.53926	-8.91418	1913	1263	44	40	1	m	lda	top5
0.49999	0.002	0.56377	0.58188	0.56377	0.58757	-8.88243	1993	1183	38	46	1	m	lda	top5
0.49877	0.002	0.55511	0.61453	0.55511	0.57022	-9.08239	1845	1331	37	47	1	m	lda	top5
0.49929	0.002	0.56857	0.59082	0.56857	0.54631	-8.83379	1920	1256	43	41	1	m	lda	top5
0.50062	0.00399	0.55035	0.5904	0.55035	0.54603	-8.88345	1956	1220	44	40	1	m	lda	top5
0.50015	0.002	0.54892	0.58172	0.54892	0.54214	-8.95127	1591	1585	35	49	1	m	lda	top5
0.5005	0.002	0.56882	0.58643	0.56882	0.55806	-8.94058	1919	1257	41	43	2	m	lda	top5
0.50132	0.002	0.59777	0.58107	0.59777	0.56244	-8.85976	1909	1267	40	44	2	m	lda	top5
0.49956	0.002	0.60303	0.56337	0.60303	0.57268	-8.82751	1785	1391	35	49	2	m	lda	top5
0.49994	0.002	0.58328	0.57669	0.58328	0.55041	-8.82894	1946	1230	43	41	2	m	lda	top5
0.50025	0.002	0.60262	0.55237	0.60262	0.57941	-8.79649	1979	1197	39	45	2	m	lda	top5
0.50094	0.002	0.6106	0.60387	0.6106	0.57803	-8.94316	2008	1168	40	44	2	m	lda	top5
0.49999	0.002	0.61801	0.55907	0.61801	0.58602	-8.78476	2210	966	44	40	2	m	lda	top5
0.50095	0.002	0.60919	0.5458	0.60919	0.56681	-8.77531	2088	1088	44	40	2	m	lda	top5
0.50103	0.002	0.58265	0.56677	0.58265	0.54555	-8.80753	2142	1034	49	35	2	m	lda	top5
0.50006	0.002	0.58948	0.58286	0.58948	0.56539	-8.84144	2079	1097	44	40	2	m	lda	top5
0.50016	0.002	0.58873	0.57427	0.58873	0.56314	-8.88308	1800	1376	37	47	2	m	lda	top5
0.49998	0.002	0.60559	0.53594	0.60559	0.58398	-8.80304	2008	1168	39	45	2	m	lda	top5
0.49992	0.002	0.61984	0.5926	0.61984	0.5567	-8.9338	2175	1001	48	36	2	m	lda	top5
0.49997	0.002	0.6192	0.54327	0.6192	0.59387	-8.81436	1844	1332	33	51	2	m	lda	top5
0.50041	0.002	0.62407	0.54619	0.62407	0.58776	-8.7989	2032	1144	39	45	2	m	lda	top5
0.49963	0.002	0.58409	0.57938	0.58409	0.56761	-8.98414	1715	1461	34	50	2	m	lda	top5
0.50136	0.002	0.57699	0.55581	0.57699	0.56698	-8.87646	1900	1276	39	45	2	m	lda	top5
0.49839	0.002	0.59659	0.56688	0.59659	0.57491	-8.82145	2026	1150	41	43	2	m	lda	top5
0.49949	0.00599	0.54151	0.5611	0.54151	0.53974	-8.94413	1727	1449	39	45	2	m	lda	top5
0.50045	0.002	0.60159	0.57615	0.60159	0.57728	-8.92305	1663	1513	31	53	2	m	lda	top5
0.50077	0.002	0.56819	0.57973	0.56819	0.55302	-8.73586	1887	1289	41	43	3	m	lda	top5
