,test_perm,test_pval,test_score,train_score,auc_prob,auc_pred,r2,tn,fp,fn,tp,fold,gen,model,subset
8,0.50063,0.13174,0.51905,0.60738,0.51905,0.49031,-7.58362,2207,969,60,24,3,f,knn,top29
9,0.50099,0.21158,0.51306,0.59659,0.51306,0.49182,-8.30009,2141,1035,58,26,3,f,knn,top29
10,0.50048,0.51297,0.50004,0.63779,0.50004,0.47947,-7.96782,2176,1000,61,23,3,f,knn,top29
11,0.50048,0.16966,0.51528,0.62577,0.51528,0.49018,-7.52362,2244,932,61,23,3,f,knn,top29
12,0.50026,0.87425,0.48119,0.61649,0.48119,0.46738,-8.09455,2137,1039,62,22,3,f,knn,top29
13,0.49954,0.32934,0.50652,0.60855,0.50652,0.47298,-7.39684,2286,890,65,19,3,f,knn,top29
14,0.50002,0.03194,0.52956,0.56378,0.52956,0.51317,-8.01006,2201,975,56,28,3,f,knn,top29
15,0.49977,0.68263,0.49256,0.62651,0.49256,0.50526,-7.39942,2302,874,60,24,3,f,knn,top29
16,0.49937,0.56886,0.49668,0.61102,0.49668,0.48722,-7.71703,2263,913,62,22,3,f,knn,top29
17,0.50021,0.64471,0.4959,0.57777,0.4959,0.46809,-6.46819,2444,732,70,14,3,f,knn,top29
18,0.49949,0.87625,0.48188,0.62342,0.48188,0.47084,-7.04438,2348,828,67,17,3,f,knn,top29
19,0.5,0.17365,0.51545,0.60467,0.51545,0.49465,-7.91942,2159,1017,58,26,3,f,knn,top29
0,0.49943,0.12974,0.51685,0.59625,0.51685,0.48421,-5.00009,2622,554,72,12,4,f,knn,top29
1,0.50062,0.01597,0.53491,0.60499,0.53491,0.49792,-5.36972,2520,656,67,17,4,f,knn,top29
2,0.50042,0.00399,0.54354,0.58593,0.54354,0.51139,-5.56329,2530,646,65,19,4,f,knn,top29
3,0.50011,0.00798,0.54114,0.61064,0.54114,0.49417,-5.18017,2534,642,68,16,4,f,knn,top29
4,0.50028,0.02994,0.53223,0.62261,0.53223,0.52418,-4.82047,2649,527,66,18,4,f,knn,top29
5,0.50033,0.17565,0.51569,0.5948,0.51569,0.50232,-5.42076,2548,628,67,17,4,f,knn,top29
6,0.50008,0.002,0.57489,0.59463,0.57489,0.53002,-6.51782,2308,868,56,28,4,f,knn,top29
7,0.49988,0.002,0.54923,0.61144,0.54923,0.5365,-6.13491,2387,789,57,27,4,f,knn,top29
8,0.49957,0.46707,0.50124,0.58142,0.50124,0.4807,-7.1507,2146,1030,60,24,4,f,knn,top29
9,0.49824,0.002,0.55812,0.60919,0.55812,0.5188,-5.89394,2388,788,60,24,4,f,knn,top29
10,0.50032,0.002,0.54581,0.58714,0.54581,0.51474,-6.20839,2400,776,61,23,4,f,knn,top29
11,0.49914,0.00998,0.53701,0.60291,0.53701,0.49757,-5.55094,2480,696,66,18,4,f,knn,top29
12,0.49911,0.14571,0.51673,0.59438,0.51673,0.50787,-5.85267,2432,744,63,21,4,f,knn,top29
13,0.5022,0.00399,0.55565,0.60288,0.55565,0.52132,-6.12992,2404,772,60,24,4,f,knn,top29
14,0.49931,0.16766,0.51362,0.62287,0.51362,0.51771,-7.72807,2192,984,55,29,4,f,knn,top29
15,0.50139,0.03593,0.5303,0.58041,0.5303,0.50966,-5.59145,2519,657,65,19,4,f,knn,top29
16,0.49949,0.03593,0.52882,0.63561,0.52882,0.50179,-5.72692,2469,707,65,19,4,f,knn,top29
17,0.49977,0.01397,0.54211,0.61208,0.54211,0.51814,-6.39575,2346,830,59,25,4,f,knn,top29
18,0.50006,0.07585,0.52453,0.59195,0.52453,0.50906,-5.45894,2553,623,66,18,4,f,knn,top29
19,0.50132,0.002,0.55835,0.62584,0.55835,0.54494,-5.34596,2554,622,60,24,4,f,knn,top29
0,0.49997,0.002,0.56057,0.62712,0.56057,0.54465,-8.89891,1796,1380,40,44,3,m,lda,top29
1,0.49809,0.002,0.56786,0.6499,0.56786,0.53634,-9.03175,1781,1395,41,43,3,m,lda,top29
